[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.911e-05,	b1 = 5.846e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.903e-05,	b2 = 5.853e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.907e-05,	b_total = 5.850e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 7.319e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0252 steps
Cap(theor-act): [  6.377e-04 -   6.348e-04 =   2.887e-06] | Step Loss (=Cap/k_fit): [  0.099] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0447 +  0.0037 +  0.0201 =    +0.0685] @ 2026-02-16 18:52:26.160878 @ Step [1.7832e+00/1.8125e+00]
Cap(theor-act): [  6.377e-04 -   6.384e-04 =  -7.394e-07] | Step Loss (=Cap/k_fit): [ -0.025] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [-0.0114 +  0.0037 + -0.0249 =    -0.0327] @ 2026-02-16 18:52:26.846745 @ Step [1.7505e+00/1.8125e+00]
Cap(theor-act): [  6.395e-04 -   6.378e-04 =   1.683e-06] | Step Loss (=Cap/k_fit): [  0.058] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0260 +  0.0037 +  0.0167 =    +0.0464] @ 2026-02-16 18:52:27.555206 @ Step [1.7969e+00/1.8750e+00]
Cap(theor-act): [  6.395e-04 -   6.396e-04 =  -1.305e-07] | Step Loss (=Cap/k_fit): [ -0.004] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [-0.0020 +  0.0037 + -0.0125 =    -0.0108] @ 2026-02-16 18:52:28.232545 @ Step [1.7861e+00/1.8750e+00]
Cap(theor-act): [  6.413e-04 -   6.384e-04 =   2.894e-06] | Step Loss (=Cap/k_fit): [  0.100] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0448 +  0.0038 +  0.0208 =    +0.0694] @ 2026-02-16 18:52:28.919059 @ Step [1.8555e+00/1.9375e+00]
Cap(theor-act): [  6.413e-04 -   6.409e-04 =   3.774e-07] | Step Loss (=Cap/k_fit): [  0.013] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0058 +  0.0038 + -0.0173 =    -0.0076] @ 2026-02-16 18:52:29.595229 @ Step [1.8479e+00/1.9375e+00]
Cap(theor-act): [  6.431e-04 -   6.401e-04 =   3.000e-06] | Step Loss (=Cap/k_fit): [  0.103] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0464 +  0.0039 +  0.0180 =    +0.0684] @ 2026-02-16 18:52:30.284390 @ Step [1.9163e+00/2.0000e+00]
Cap(theor-act): [  6.431e-04 -   6.421e-04 =   9.853e-07] | Step Loss (=Cap/k_fit): [  0.034] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0153 +  0.0040 + -0.0139 =    +0.0054] @ 2026-02-16 18:52:30.963005 @ Step [1.9216e+00/2.0000e+00]
Cap(theor-act): [  6.449e-04 -   6.426e-04 =   2.299e-06] | Step Loss (=Cap/k_fit): [  0.079] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0356 +  0.0040 +  0.0090 =    +0.0487] @ 2026-02-16 18:52:31.642111 @ Step [1.9703e+00/2.0625e+00]
Cap(theor-act): [  6.449e-04 -   6.427e-04 =   2.198e-06] | Step Loss (=Cap/k_fit): [  0.076] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0340 +  0.0041 + -0.0007 =    +0.0375] @ 2026-02-16 18:52:32.326784 @ Step [2.0078e+00/2.0625e+00]
Cap(theor-act): [  6.467e-04 -   6.430e-04 =   3.713e-06] | Step Loss (=Cap/k_fit): [  0.128] | Gains(P,I,D): [4.50e-01, 2.00e-03, 1.00e-01] | PID_Out(P+I+D): [ 0.0575 +  0.0042 +  0.0104 =    +0.0721] @ 2026-02-16 18:52:33.014525 @ Step [2.0799e+00/2.1250e+00]
