[LOG] SCAN_PART Channel               : R
[LOG] SCAN_PART_1 (Forward 15 points) : k1 = 2.956e-05,	b1 = 5.865e-04
[LOG] SCAN_PART_2 (Backward 15 points): k2 = 2.935e-05,	b2 = 5.872e-04
[LOG] SCAN_TOTAL  (Symmetric)         : k_total = 2.945e-05,	b_total = 5.868e-04
[LOG] HYSTERESIS_AVG: Mean Delta_Cap  (dy) = 5.907e-07
[LOG] HYSTERESIS_AVG: Mean Delta_Step (dx) = 0.0201 steps
Cap(theor-act): [  6.973e-04 -   6.796e-04 =   1.768e-05] | Step Loss (=Cap/k_fit): [  0.600] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0030 +  0.1320 + -0.0013 =    +0.1337] @ 21:20:13 [PID ADJ        ] @ Step [9.3466e+00]
Cap(theor-act): [  6.973e-04 -   6.859e-04 =   1.134e-05] | Step Loss (=Cap/k_fit): [  0.385] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0019 +  0.1323 + -0.0022 =    +0.1321] @ 21:20:14 [PID ADJ        ] @ Step [9.4787e+00]
Cap(theor-act): [  6.973e-04 -   6.911e-04 =   6.202e-06] | Step Loss (=Cap/k_fit): [  0.211] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0011 +  0.1326 + -0.0017 =    +0.1319] @ 21:20:15 [PID ADJ        ] @ Step [9.6106e+00]
Cap(theor-act): [  6.973e-04 -   6.928e-04 =   4.490e-06] | Step Loss (=Cap/k_fit): [  0.152] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [ 0.0008 +  0.1327 + -0.0006 =    +0.1329] @ 21:20:16 [PID ADJ        ] @ Step [9.7434e+00]
Cap(theor-act): [  6.973e-04 -   6.990e-04 =  -1.754e-06] | Step Loss (=Cap/k_fit): [ -0.060] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [-0.0003 +  0.1326 + -0.0021 =    +0.1302] @ 21:20:17 [PID ADJ        ] @ Step [9.8737e+00]
Cap(theor-act): [  6.973e-04 -   7.047e-04 =  -7.394e-06] | Step Loss (=Cap/k_fit): [ -0.251] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [-0.0013 +  0.1324 + -0.0019 =    +0.1292] @ 21:20:19 [PID ADJ        ] @ Step [1.0003e+01]
Cap(theor-act): [  6.973e-04 -   7.064e-04 =  -9.106e-06] | Step Loss (=Cap/k_fit): [ -0.309] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [-0.0015 +  0.1321 + -0.0006 =    +0.1300] @ 21:20:20 [PID ADJ        ] @ Step [1.0133e+01]
Cap(theor-act): [  6.973e-04 -   7.072e-04 =  -9.912e-06] | Step Loss (=Cap/k_fit): [ -0.337] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [-0.0017 +  0.1318 + -0.0003 =    +0.1298] @ 21:20:21 [PID ADJ        ] @ Step [1.0263e+01]
Cap(theor-act): [  6.973e-04 -   7.122e-04 =  -1.495e-05] | Step Loss (=Cap/k_fit): [ -0.507] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [-0.0025 +  0.1312 + -0.0017 =    +0.1270] @ 21:20:22 [PID ADJ        ] @ Step [1.0390e+01]
Cap(theor-act): [  6.973e-04 -   7.181e-04 =  -2.079e-05] | Step Loss (=Cap/k_fit): [ -0.706] | Gains(P,I,D): [5.00e-03, 1.00e-03, 1.00e-02] | PID_Out(P+I+D): [-0.0035 +  0.1305 + -0.0020 =    +0.1250] @ 21:20:23 [PID ADJ        ] @ Step [1.0515e+01]
